Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,58.070000,58.680000,57.430000,58.430000,56.529182,1727600
2020-11-11,58.610001,58.610001,57.200001,57.410000,55.542366,1859600
2020-11-12,57.150002,57.619999,56.189999,56.799999,54.952209,1641600
2020-11-13,57.360001,58.389999,57.000000,58.110001,56.219593,1168200
2020-11-16,58.950001,60.000000,58.450001,59.919998,57.970707,2179500
2020-11-17,59.959999,60.169998,58.660000,59.470001,57.535355,2650900
2020-11-18,59.500000,59.639999,58.820000,59.000000,57.080639,1175800
2020-11-19,58.759998,59.580002,58.509998,59.509998,57.574043,1417800
2020-11-20,59.610001,59.787998,58.950001,58.980000,57.061291,1795900
2020-11-23,59.570000,59.889999,58.380001,59.150002,57.225761,1747000
2020-11-24,59.660000,60.672001,59.560001,60.090000,58.135181,1755900
2020-11-25,59.799999,59.865002,58.700001,59.279999,57.351528,922600
2020-11-27,59.299999,59.570000,58.270000,58.470001,56.567883,923000
2020-11-30,58.000000,58.279999,56.834999,56.959999,55.107002,2302900
2020-12-01,57.299999,57.660000,56.230000,57.369999,55.503666,1936500
2020-12-02,57.320000,58.250000,56.950001,58.189999,56.296989,1284000
2020-12-03,58.340000,59.110001,57.910000,58.820000,56.906494,1391500
2020-12-04,59.340000,60.560001,59.110001,60.500000,58.531845,1594600
2020-12-07,60.389999,60.830002,59.529999,59.980000,58.028759,1144100
2020-12-08,59.980000,60.220001,59.180000,60.000000,58.048111,831500
2020-12-09,60.160000,61.520000,59.919998,61.320000,59.325165,1476100
2020-12-10,60.880001,61.730000,60.529999,61.630001,59.625084,986300
2020-12-11,61.279999,61.529999,60.360001,60.560001,58.589893,845500
2020-12-14,61.310001,62.480000,61.250000,61.290001,59.296143,1549200
2020-12-15,61.549999,62.720001,61.009998,62.709999,60.669945,1549800
2020-12-16,62.720001,63.139999,61.889999,62.000000,59.983044,3294700
2020-12-17,63.110001,63.110001,61.000000,62.130001,60.108818,2390800
2020-12-18,61.740002,62.160000,60.869999,61.950001,60.440533,3041600
2020-12-21,60.340000,61.669998,59.660000,61.560001,60.060036,1131100
2020-12-22,61.119999,61.397999,60.235001,60.610001,59.133183,1153800
2020-12-23,60.730000,61.160000,60.410000,60.799999,59.318554,929100
2020-12-24,60.970001,60.990002,60.410000,60.709999,59.230743,267900
2020-12-28,61.340000,61.439999,60.490002,60.560001,59.084404,734100
2020-12-29,60.709999,61.450001,60.099998,60.799999,59.318554,1106400
2020-12-30,60.959999,61.969002,60.779999,61.830002,60.323460,1087900
2020-12-31,61.520000,61.840000,61.099998,61.110001,59.620998,844800
2021-01-04,61.900002,62.154999,59.320000,59.389999,57.942909,2473200
2021-01-05,59.020000,59.720001,58.470001,58.910000,57.474606,3129900
2021-01-06,59.180000,60.799999,58.990002,60.380001,58.908787,3216600
2021-01-07,62.040001,63.639999,61.110001,63.490002,61.943012,2560300
2021-01-08,63.299999,64.239998,63.099998,64.139999,62.577171,1566500
2021-01-11,63.369999,64.029999,62.849998,63.259998,61.718613,1219000
2021-01-12,63.570000,63.570000,62.430000,62.650002,61.123474,1283500
2021-01-13,62.369999,63.480000,62.200001,63.180000,61.640564,1445000
2021-01-14,63.150002,64.650002,63.060001,64.239998,62.674732,1436200
2021-01-15,64.160004,64.269997,62.790001,62.910000,61.377140,1333500
2021-01-19,62.230000,62.959999,61.189999,61.770000,60.264919,1619500
2021-01-20,61.919998,62.160000,61.209999,61.270000,59.777100,1536900
2021-01-21,61.310001,61.375000,60.205002,60.590000,59.113674,1697600
2021-01-22,60.290001,60.540001,60.029999,60.080002,58.616096,937000
2021-01-25,60.000000,60.029999,58.700001,59.060001,57.620953,1494500
2021-01-26,59.349998,59.980000,58.529999,59.700001,58.245354,1262300
2021-01-27,59.009998,59.044998,56.560001,57.110001,55.718464,1926700
2021-01-28,57.570000,59.049999,57.070000,58.560001,57.133133,1775200
2021-01-29,58.040001,58.310001,56.910000,57.700001,56.294090,1242100
2021-02-01,58.200001,59.180000,57.560001,59.060001,57.620953,1435100
2021-02-02,59.709999,60.889999,59.456001,60.599998,59.123425,1042300
2021-02-03,60.330002,61.230000,60.009998,60.160000,58.694149,1088500
2021-02-04,60.470001,60.470001,59.540001,59.549999,58.099007,1330100
2021-02-05,60.189999,60.294998,59.575001,59.610001,58.157547,1078000
2021-02-08,60.130001,60.130001,59.270000,59.900002,58.440483,1271500
2021-02-09,59.990002,60.540001,59.630001,60.090000,58.625854,1854300
2021-02-10,60.180000,60.259998,59.360001,60.080002,58.616096,1807200
2021-02-11,58.860001,59.790001,57.160000,59.139999,57.698997,5108700
2021-02-12,57.639999,59.110001,56.919998,59.049999,57.611191,2571600
2021-02-16,59.130001,59.930000,58.950001,59.299999,57.855103,1647000
2021-02-17,58.869999,59.599998,58.480000,59.450001,58.001450,1687900
2021-02-18,59.360001,60.860001,58.880001,60.549999,59.074642,1307700
2021-02-19,60.730000,61.220001,60.340000,60.970001,59.484413,981400
2021-02-22,60.860001,61.740002,60.459999,60.779999,59.299038,1253500
2021-02-23,60.950001,61.070000,59.500000,59.860001,58.401459,1225500
2021-02-24,60.029999,62.099998,59.740002,62.020000,60.508827,1089400
2021-02-25,62.099998,62.860001,60.930000,61.480000,59.981983,1800900
2021-02-26,61.750000,61.750000,59.869999,59.919998,58.459995,1841400
2021-03-01,60.700001,61.509998,60.365002,61.369999,59.874664,972700
2021-03-02,62.430000,63.430000,60.869999,62.520000,60.996643,3349300
2021-03-03,62.290001,64.739998,61.980000,63.830002,62.274727,3054100
2021-03-04,64.610001,64.639999,62.080002,62.590000,61.064941,3405800
2021-03-05,62.459999,62.820000,61.279999,62.470001,60.947861,2754500
2021-03-08,62.619999,65.730003,62.470001,65.000000,63.416218,3675100
2021-03-09,65.629997,65.629997,63.450001,64.059998,62.499119,1891900
2021-03-10,64.000000,64.989998,63.619999,64.120003,62.557659,1447300
2021-03-11,63.279999,64.360001,63.279999,63.750000,62.196671,1140200
2021-03-12,63.810001,64.050003,63.189999,63.490002,61.943012,1515400
2021-03-15,63.820000,64.139999,63.270000,64.000000,62.440582,1536300
2021-03-16,64.099998,64.099998,63.029999,63.939999,62.382046,1203900
2021-03-17,63.169998,65.480003,63.169998,64.830002,63.250359,1044600
2021-03-18,64.970001,65.029999,63.630001,63.820000,62.264965,712300
2021-03-19,63.669998,65.349998,63.389999,64.779999,63.201572,3652100
2021-03-22,64.699997,64.779999,63.896999,64.169998,63.122879,3048700
2021-03-23,64.389999,65.430000,64.019997,65.010002,63.949181,1564000
2021-03-24,65.175003,66.415001,65.110001,65.500000,64.431175,1472900
2021-03-25,65.339996,66.830002,64.820000,66.639999,65.552582,1288600
2021-03-26,66.800003,67.989998,66.360001,67.919998,66.811691,1417300
2021-03-29,67.599998,68.480003,66.389999,66.440002,65.355843,2482500
2021-03-30,65.980003,66.339996,65.519997,65.610001,64.539383,1186700
2021-03-31,65.559998,66.139999,64.970001,65.000000,63.939339,1226600
2021-04-01,65.180000,65.550003,64.580002,65.550003,64.480362,1109500
2021-04-05,66.080002,66.110001,65.110001,65.480003,64.411507,673000
2021-04-06,65.570000,66.300003,65.279999,65.860001,64.785309,711100
2021-04-07,65.860001,67.150002,65.599998,66.559998,65.473877,1331800
2021-04-08,66.709999,66.739998,65.839996,66.389999,65.306648,1066000
2021-04-09,66.150002,66.800003,65.665001,66.800003,65.709969,840400
